City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
109,bargaal,11.2864,51.0773,28.89,72,64,4.22,SO,1686193146
110,udachny,66.4167,112.4,11.92,53,64,3.11,RU,1686193147
111,port saint john's,-31.6229,29.5448,17.89,55,0,2.74,ZA,1686193147
112,riverton,40.5219,-111.9391,21.58,46,0,1.79,US,1686193147
113,burutu,5.3509,5.5076,24.19,96,100,2.77,NG,1686193147
114,lyakhavichy,53.0388,26.2656,9.7,91,6,1.49,BY,1686193147
115,port elizabeth,-33.918,25.5701,11.29,97,0,1.03,ZA,1686193147
116,shiloh,38.5614,-89.8973,22.27,65,0,1.54,US,1686192989
117,masuguru,-11.3667,38.4167,20.0,90,4,1.19,TZ,1686193148
118,pangobilian,8.8011,117.8594,30.14,67,73,3.15,PH,1686193148
119,al manshah,26.4769,31.8035,35.14,21,92,9.77,EG,1686193148
120,mlimba,-8.8,35.8167,22.09,67,100,0.53,TZ,1686193148
121,handia,25.3833,82.1833,38.93,17,0,3.42,IN,1686193148
122,amga,60.8953,131.9608,21.46,40,24,2.81,RU,1686193149
123,sitka,57.0531,-135.33,15.94,63,0,2.57,US,1686193149
124,kavieng,-2.5744,150.7967,29.12,74,100,3.52,PG,1686193149
125,maracas,-13.4411,-40.4308,17.04,89,97,2.73,BR,1686193149
126,nuuk,64.1835,-51.7216,-0.07,77,81,4.47,GL,1686193149
127,falun,60.6036,15.626,12.23,79,87,4.13,SE,1686193149
128,natal,-5.795,-35.2094,25.12,94,40,3.6,BR,1686192914
129,brookings,44.3114,-96.7984,24.0,60,0,2.06,US,1686193036
130,balsas,-7.5325,-46.0356,23.93,59,10,0.6,BR,1686193030
131,yaroslavl,57.6299,39.8737,8.89,87,0,0.0,RU,1686193150
132,atafu village,-8.5421,-172.5159,28.74,72,19,3.03,TK,1686193150
133,port lincoln,-34.7333,135.8667,16.24,58,65,10.8,AU,1686193150
134,tafuna,-14.3358,-170.72,27.37,80,97,6.83,AS,1686193150
135,saint-pierre,-21.3393,55.4781,21.82,60,0,3.09,RE,1686193129
136,hithadhoo,-0.6,73.0833,28.49,69,59,1.28,MV,1686193150
137,miquelon,47.0975,-56.3814,6.0,97,100,2.76,PM,1686193150
138,avarua,-21.2078,-159.775,25.03,73,20,5.66,CK,1686193151
139,susuman,62.7833,148.1667,14.25,49,100,4.67,RU,1686193151
140,xuanzhou,30.9525,118.7553,29.7,57,75,4.17,CN,1686193151
141,qaqortoq,60.7167,-46.0333,1.87,85,79,0.68,GL,1686193151
